Partner ID,PQP Feb 25
62957,Javier Peñaloza KA
123621,Franco Lagos KA
131774,Sin PQP
146671,Sin PQP
166713,Franco Lagos KA
375428,Franco Lagos KA
267952,Sin PQP
115154,Javier Peñaloza KA
308154,Franco Lagos KA
515355,Franco Lagos KA
133770,Javier Peñaloza KA
101275,Javier Peñaloza KA
501726,Franco Lagos Tier
105938,Franco Lagos KA
450012,Sin PQP
181314,Franco Lagos KA
66567,Franco Lagos KA
521115,Franco Lagos KA
65053,Sin PQP
306096,Franco Lagos Tier
510671,Franco Lagos KA
370667,Javier Peñaloza KA
527589,Franco Lagos KA
477236,Franco Lagos KA
271712,Franco Lagos KA
522505,Sin PQP
155668,Macka Ramirez
172768,Sin PQP
107235,Franco Lagos KA
419534,Franco Lagos Tier
228221,Sin PQP
488671,Franco Lagos KA
68598,Franco Lagos KA
319541,Javier Peñaloza KA
479764,Franco Lagos Tier
305417,Sin PQP
133754,Javier Peñaloza KA
169841,Javier Peñaloza KA
168466,Sin PQP
100058,Sin PQP
411938,Javier Peñaloza KA
160248,Franco Lagos KA
254666,Sin PQP
136209,Javier Peñaloza KA
87794,Sin PQP
419533,Franco Lagos Tier
59063,Javier Peñaloza KA
137753,Franco Lagos Tier
503710,Franco Lagos KA
202154,Franco Lagos KA
177937,Sin PQP
510169,Javier Peñaloza KA
220151,Javier Peñaloza KA
449787,Franco Lagos KA
261229,Javier Peñaloza KA
399810,Javier Peñaloza KA
255621,Franco Lagos KA
152892,Franco Lagos Tier
341841,Javier Peñaloza KA
103463,Sin PQP
422552,Franco Lagos Tier
302487,Franco Lagos KA
324981,Franco Lagos KA
271555,Macka Ramirez
146278,Macka Ramirez
449284,Franco Lagos KA
409965,Franco Lagos KA
299473,Sin PQP
107870,Franco Lagos Tier
63002,Javier Peñaloza KA
254660,Sin PQP
48858,Franco Lagos Tier
336016,Franco Lagos Tier
133690,Javier Peñaloza KA
243707,Franco Lagos KA
66487,Javier Peñaloza KA
101006,Sin PQP
111120,Javier Peñaloza KA
199904,Franco Lagos Tier
37845,Franco Lagos Tier
224743,Franco Lagos Tier
203910,Franco Lagos Tier
328057,Sin PQP
137296,Sin PQP
254398,Franco Lagos Tier
136570,Javier Peñaloza KA
133584,Javier Peñaloza KA
67451,Javier Peñaloza KA
254684,Sin PQP
264655,Javier Peñaloza KA
388038,Franco Lagos Tier
222229,Javier Peñaloza KA
62142,Javier Peñaloza KA
