Partner_id,Partner_name,Franchise_name,Mall,City_name_partner,Area_name_partner,Pqp_advisor
472642,Pet & Go - Plaza Oeste,Pet&Go,Mall Plaza Oeste,Santiago,Cerrillos,maria cecilia maturana
161913,Churromania - Mall Plaza Oeste,Churromania,Mall Plaza Oeste,Santiago,Cerrillos,franco lagos tier
399601,Candy Sugar 608,,Mall Plaza Oeste,Santiago,Cerrillos,franco lagos lt
177068,Mcdonald's - Mall Arauco Quilicura,McDonald's,Mall Arauco Quilicura,Santiago,Quilicura,josefina sarquis
189409,KFC Mall Arauco Quilicura,KFC,Mall Arauco Quilicura,Santiago,Quilicura,josefina sarquis
197625,Doggis Mall Arauco Quilicura,Doggis,Mall Arauco Quilicura,Santiago,Quilicura,nicole bustamante
310117,Doggis Heladería Arauco Quilicura,Doggis Heladeria,Mall Arauco Quilicura,Santiago,Quilicura,nicole bustamante
314055,Pedro Juan Y Diego Quilicura,"Pedro, Juan y Diego",Mall Arauco Quilicura,Santiago,Quilicura,josefina sarquis
469132,Burger King® - Mall Arauco Quilicura,Burger King,Mall Arauco Quilicura,Santiago,Quilicura,javier peñaloza
477628,Telepizza Mall Quilicura - Courier,Telepizza,Mall Arauco Quilicura,Santiago,Quilicura,null
182764,Dunkin' Mall Arauco Quilicura,Dunkin Donuts,Mall Arauco Quilicura,Santiago,Quilicura,javier peñaloza
187062,Dunkin'  Mall Arauco Quilicura - Café,Dunkin Donuts,Mall Arauco Quilicura,Santiago,Quilicura,javier peñaloza
194185,Tarragona Arauco Quilicura,Tarragona,Mall Arauco Quilicura,Santiago,Quilicura,nicole bustamante
454026,Yogen Fruz - Quilicura,Yogen Fruz,Mall Arauco Quilicura,Santiago,Quilicura,null
476004,Tarragona Arauco Quilicura 432,Tarragona,Mall Arauco Quilicura,Santiago,Quilicura,null
199933,Juan Maestro Mall Arauco Quilicura,Juan Maestro,Mall Arauco Quilicura,Santiago,Quilicura,nicole bustamante
108619,Subway Mall Vivo Maipú,Subway,Mall Vivo Maipú,Santiago,Maipú,nicole bustamante
